page,scientific_name,common_name.hu
7,Bacteria,baktériumok
9,Algae,algák
,Euglena viridis,zöld szemesostoros
,Ceratium hirundinella,fecskemoszat
,Spirogyra nitida,békanyál
,Chara foetida,csillárkamoszat
10,Mycota,gombák
,Myxomycota,nyálka~
,Mucilago spongiosa,kakukknyál
,Oomycota,petespórás gombák
,Plasmopara viticola,szőlőperonoszpóra; szőlőragya
,Saprolegnia ferax,halpenész
,Zygomycota,járomspórás gombák
,Mucor mucedo,fejespenész
11,Entomophthora muscae,légypenész
,ascomycota,tömlősgombák
,Taphrina carpini,gyertyán-boszorkányseprű
,Microsphaera quercina,tölgylisztharmat
,Rhytisma acerinum,juharlevélfoltosító
,Lophodermium seditiosum,erdeifenyő tűkarcgomba
,Drepanopeziza punctiformis,nyárlevélfoltosító
12,Penicillium roquefortii,sajtpenész
,Nectria cinnabarina,piros héjbibircs; vörös szemölcsgomba
,Basidiomycota,bazídiumos gombák
,Puccinia graminis,gabonarozsda
,Ustilago maydis,kukoricaüszög
13,Aleuria aurantia,narancsvörös csészegomba; narancsszínű csészegomba
,Morchella esculenta,ízletes kucsmagomba
,Gyromitra esculenta,redős papsapkagomba
,Tuber aestivum,nyári szarvasgomba
14,Heterobasidion annosum,gyökértapló; gyökérrontó tapló
,Inonotus nidus-pici,kétalakú cser~; fekete kétalakú cser~
,Hydnum repandum,sárga gerebengomba
,Trametes versicolor,lepketapló
,Fistulina hepatica,májgomba
15,Daedalea quercina,labirintus tapló
,Lenzites betulina,fakó lemezes~
,Piptoporus betulinus,nyírfa-~
,Fomes fomentarius,bükkfa-~
,Polyporus squamosus,pisztricgomba; bagolygomba
16,Ramaria flava,sárga korallgomba
,Stereum hirsutum,borostás réteggomba
,Cantharellus cibarius,sárga rókagomba; csirkegomba; nyulica
,Macrolepiota procera,nagy őzlábgomba
,Lepiota helveola,vöröses őzlábgomba; vörhenyes őzlábgomba
17,Amanita phalloides,gyilkos galóca
,^ caesarea,császárgalóca; császárgomba
,^ muscaria,légyölő galóca
,^ pantherina,párducgalóca
,Pleurotus ostreatus,késői laskagomba
18,Lepista nuda; Tricholoma nudum,lila pereszke
,Trichomolopsis rutilans,bársonyos pereszke
,Lepista nebularis,szürke tölcsérgomba
,Russula cyanoxantha,kékhátú galambgomba
,Lactarius piperatus,fehértejű keserűgomba; borsos tejelőgomba
,^ deliciosus,ízletes rizike
