page^,scientific_name,common_name.hu
28,Anasimyia,iszaplegyek /egyek/égy/
,~ lineata,kúparcú ~
,~ interpuncta,korai ~
,~ lunulata,északi ~
,~ contracta,dudoros ~
,~ transfuga,gyakori ~
29,Arctophila,hegyilegyek /egyek/égy/
,~ superbiens,őszi ~
,~ bombiformis,poszméhalakú ~
,Baccha,árnyéklegyek /egyek/égy/
,~ elongata,szürkehomlokú ~
,~ obscuripennis,fényeshomlokú ~
30,Blera,sárgaarcúlegyek /egyek/égy/
,~ fallax,~
,Brachymyia,bundáslegyek /egyek/égy/
,~ berberina,változékogy ~
,~ floccosa,fehérpamacsú ~
31,Brachyopa,fanedvlegyek /egyek/égy/
,~ testacea,északi ~
,~ vittata,nagy ~
,~ panzeri,Panzeri ~
32,~ dorsata,duplacsíkos ~
,~ maculipennis,foltosszárnyú ~
,~ insensilis,szil ~
,~ bicolor,nyár ~
,~ scutellaris,nyugati ~
,~ plena,ritka ~
,~ pilosa,gyakori ~
33,Brachypalpoides,korhadófalegyek /egyek/égy/
,~ lentus,vöröspotrohú ~
34,Brachypalpus,korhadéklegyek /egyek/égy/
,~ valgus,déli ~
,~ laphriformis,barna ~
,~ chrysites,aranysárga ~
,Caliprobola,pompáslegyek /egyek/égy/
35,~ speciosa,~
,Callicera,bronzoslegyek /egyek/égy/
,~ spinolae,feketecsíkos ~
,~ aenea,szürkecsíkos ~
,~ rufa,vörösbarna ~
36,~ macquartii,őszi ~
,Ceriana,hosszúcsápúlegyek /egyek/égy/
,~ conopsoides,nagy ~
,~ vespiformis,kis ~
,Chalcosyrphus,holtfalegyek /egyek/égy/
,~ eunotus,csíkoshátú ~
,~ curvipes,ritka ~
37,~ femoratus,nagy ~
,~ nemorum,kis ~
,~ piger,vörös ~
,~ valgus,fekete ~
,Chamaesyrphus,ékarcúlegyek /egyek/égy/
,~ scaevoides,sárga ~
38,Cheilosia,bronzlegyek /egyek/égy/
,~ insignis,érczöld
,~ antiqua,feketeszőrű ~
,~ nigripes,fekete ~
39,~ longula,ritka gomba-~
,~ soror,vöröscsápú gomba-~
,~ scutellata,gyakori gomba-~
,~ laticornis,szélesarcú ~
,~ pagana,turbolya ~
,~ caerulescens,foltosszárnyú ~
41,~ variabilis,közönséges ~
,~ hypena,mecseki ~
,~ vulpina,aszatszár ~
,~ latifrons,széles-szemszegélyű ~
,~ illustrata,tarkaszőrű ~
42,~ grossa,kecskefűz ~
43,~ pictipennis,hegyvidéki ~
,~ subpictipennis,fűz ~
,~ chrysocoma,vörhenyes ~
,~ flavipes,barnacombú ~
,~ albipila,aszat ~
,~ orthotricha,koratavaszi ~
,~ nebulosa,barnaszárnyú ~
44,~ chloris,acsalapu-~
,~ canicularis,martilapu-~
45,~ impressa,feketelábú ~
,~ schnabli,sárgásvörös-csápú ~
46,~ albitarsis,fehér-lábfejízű ~
,~ ranunculi,boglárka ~
,~ fasciata,medvehagyma ~
,~ semifasciata,varjúháj ~
,~ lenta,gólyahír ~
,~ cynocephala,bogáncs ~
,~ vernalis,bakszakáll ~
,~ mutabilis,bogáncsgyökér ~
,~ gigantea,nagy ~
47,~ proxima,mezeiaszat ~
,~ velutina,görvélyfű ~
,~ bergenstammi,aggófű ~
,~ fraterna,bogáncsvirág ~
48,Chrysogaster,smaragdlegyek /egyek/égy/
49,~ cemiteriorum,sárgaszárnytövű ~
,~ basalis,kis ~
,~ solstitialis,gyakori ~
,~ virescens,zöld ~
,Chrysotoxum,öveslegyek /egyek/égy/
,~ intermedium,déli ~
