page,scientific_name,common_name.hu
2,Lemnaceae,békalencsefélék
,Lemna minor,apró békalencse; fűlencse; vadlencse; vizi-lencse = vizilencse; kácsaparéj; lepcse
,^ trisulca,keresztes békalencse
,^ gibba,púpos ~; púpos lepcse
,^ polyrrhiza ,bojtos ~; fanos lencse; sokgyökerű lencse
,Utriculariaceae,renczefélék = rencefélék
,Utricularia vulgaris,közönséges rencze = közönséges rence; hínáros rencze = hínáros rence; hólyaghínár; sárga hínárvirág; tömlőfű; tömlőke
,Oleaceae,olajfafélék
,Ligustrum vulgare,vesszős fagyal; fagyálló fa; télálló fagyal; madárhúr
,Syringa vulgaris,közönséges orgona; borostyánfa; boroszlánfa; indiai mogyoró; lila bodza; tengeri bodza; spanyol bodza; török bodza; szelenczefa = szelencefa
3,^ josikaea,Jósika orgona
,Fraxinus excelsior,közönséges kőris; büdös kőrisfa; sebfa
,^ ornus,virágos kőris; manna kőris; vad kőrös
,Oenotheraceae,ligetszépefélék
,Circaea lutetiana,közönséges varázslófű; varázsfű; varázsló szirompár; ördögűzőfű; üvegfű
,Pinguicula vulgaris,közönséges hízóka; kövérke; mocsári kövérfű
,Scrophulariaceae,tátogatók
,Gratiola officinalis,orvosi csikora; innyujtófű; Isten kegyelme = isten kegyelme; kegyelemfű; réti csikorgófű
4,Veronica hederaefolia,borostyánlevelű verónika = borostyánlevelű veronika; parlagi szigorál
,^ persica,mezei verónika = mezei veronika
,^ polita,városi verónika = városi ~
,^ officinalis,orvosi verónika = orvosi ~; dicsőfű; dicsőségfű; drága jó; erdei zsálya; patikai szigoráll = patikai szigorál; sarlófű
,^ chamaedrys,ösztörűs verónika = ösztörűs ~; fattyúszigoráll = fattyúszigorál; cserszigoráll = cserszigorál; ördögcsíptefű
,^ beccabunga,derécze verónika = deréce ~; vízi pólé; vízi saláta; téli saláta; vízi derécze = vízi deréce
,^ anagallis,pólé verónika = pólé ~; vízi pólé
5,^ spicata,macskafarkú verónika = macskafarkú ~; kék macskafark; fűzéres szigoráll = fűzéres szigorál
,^ pallens,szőke verónika = szke ~
,^ serpyllifolia,kakuk verónika = kakukk~
,^ arvensis,ugar verónika = ugar~
,^ verna,tavaszi verónika = tavaszi ~
,^ triphyllos,ujjaslevelű verónika = ujjaslevelű ~
6,Lycopuis europaeus,vízi pesztercze = vízi peszterce; czigány-fű = cigányfű; farkasláb-fű; farkastalp-fű; kina-fű = kína-fű; vízi pemete; peszercze = peszerce; peszércz = peszérc; peszére
,Labiatae,ajakosak = ajakosok
,Salvia officinalis,kerti zsálya; orvosi zsálya; patikai zsálya
,^ pratensis,mezei ~; foszló virág = foszlóvirág; lóbárzsing; réti zsálya; vadzsálya; skárlát-zsálya = skarlát zsálya
,^ verticillata,ló ~ = ló~; gyrűs ~; pereszlén-forma ~; macskaláb
,^ glutinosa,enyves ~; méregvonó lapú
,^ austriaca,polyhos ~; osztrák ~
,^ aethiopis,barlanglapu
,^ betonicaefolia; ^ bertolonii; ^ dumetorum; ^ nemorosa,Szent-Ilona füve
7,Digynia,kétbibeszálúak
,Triandria,háromporzósak
,Monogynia,egybibeszálúak
,Valerianaceae,macskagyökérfélék
,Valeriana officinalis,mezei macskagyökér; badián; baldrián; fordulófű; gyökönke; mezei nárdus; római nárdus; serjék-fű = serjékfű; Szent Magdolna-fű
,^ tripteris,hármaslevelű macskagyökér
,^ olitoria,saláta galambbegy; aprósaláta; bárány-nyelvű saláta; kikeleti salát; mezei saláta; gyökönkécske; téli czikória = téli cikória
,Iridaceae,nősziromfélék
,Gladiolus communis,bókoló dákoska; dárdácska; legényvirág; madárliliom
,^ imbricatus,fedelékes dákoska
,Iris pseudacorus,sás nőszirom; békaliliom; sárgaliliom; vízililiom; nagy liliom; kardliliom
,^ graminea,pázsitos nőszirom
,^ arenaria,homoki ~
8,^ pumila,apró ~; leányka ~; leányliliom
,^ germanica,pompás ~; ékes kardliliom; német kardliliom
,Crocus heuffelianus,magyar sáfrány; Heuffel sáfránya; kikeleti sáfrány; tavaszi sáfrány; vadsáfrány
,^ banaticus,pompás sáfrány; bánsági sáfrány; őszi sáfrány; kikerics
,^ reticulatus,tarka sáfrány
,^ officinalis,fűszeres ~; bécsi ~; jóféle ~; valódi ~
,Cyperaceae,sásfélék
,Cyperus flavescens,sárgálló palka; sárguló iszapsás
,^ pannonicus,magyar palka; bogár-palka = bogárpalka
,^ fuscus,barna palka
,^ glomeratus,csomós ~; ízelt sás
,^ longus,olasz káka
,Schoenus nigricans,kormos csaté
,Scirpus palustris; Heleocharis palustris,árva káka; csír-káka = csírkáka
,^ lacustris,tavi káka; csuhu
,^ sylvaticus,erdei káka
,? holoschoenus,szürke ~; csuhu-csaté ~; csatéforma ~
10,Europhorum polystachium,keskenylevelű gyapjúsás; fürtös gyapjú; gyapjas magperje; gyapjas sás; gyapjúfű; macskanadrág
,^ latifolium,széleslevelű gyapjúsás; ~
,Hordeum vulgare,négysoros árpa
,^ hexastichum,hatsoros ~
,^ distichum,kétsoros ~; laposfejű~; sör~
,^ murinum,egér ~ = egér~; béka~; czigány~ = cigány~; kőrontó ~
,^ gussoneanum,sziki~ = sziki ~; czigány~ = cigányárpa
11,Elymus arenarius,föveny czimbor = fövenycimbor; hajfű; hajperje; lenyel zab; őzárpa; szálkapázsit
,Triticum vulgare,közönséges búza; tiszta buza
,^ hybernum,őszi ~ = őszi búza; tarbuza
,^ aestivum,tavaszi ~ = tavaszi búza
,^ spelta,tönköly-búza; piros alakor; nagy alakor
,^ repens; Agropyrum repens,tarack búza = tarackbúza; buzaperje; buzalevelű fű; ebgyógyító pázsit; ebgyógyító gyökér; kutyaperje; lábasperje
,^ caninum,eb búza; kutyabuza
,^ cristatum,tarajos búza
12,Aegilops cylindrica,hengeres kecskeszem; kalászbog; kalászbojt
,Secale cereale,közönséges rozs
,Lolium perenne,többnyaras vadócz = többnyaras vadóc; angol perje = angolperje; évelő vadócz = évelő vadóc; útszéli vadócz = útszéli vadóc; konkoly; kutyazab
,^ temulentum,szédítő vadócz = szédítő vadóc; részegfű; részeges fű; üszögös konkoly
,Lepturus pannonicus,magyar tőrfű; tőrpázsit
,Nardus stricta,havasi sertefű; hajszálfű; magár; merő nárdus; síkos szőrfű; síkos tőrfű
,Brachypodium sylvaticum,erdei szálkaperje; erdei buza; kurtatop; nyelecz = nyelec; górkalász
13,Cynodon dactylon,közönséges csillagpázsit; bermuda-fű; boszorkánykása; burkos kutyapázsit; daruláb; taraczkfű = tarackfű; ebfogfű; ujjas muhar
,Andropogon ischaemum,vérállító fenyérfű; éles fű; sokkalászú fenyér; szürke fenyér; mosogatófű; sikárfű; tevekáka
,Digitaria sanguinale; Panicum sanguinale,pirók ujjasmuhar; mannaköles; vérmuhar
,^ ciliaris,dérfű; dérkoma
,Beckmannia eruciformis,hernyós czinczor = hernyós cincor
,Chrysopogon gryllus; Pollinia gryllus,éles mosófű; csigavér-fű; éles mosófenyér; éles-fű imola = élesfű imola; rókahátú fű; sikár-fű = sikárfű
14,Sorghum vulgare,seprő czirok = seprőcirok; tatárköles
,Echinochloa crusgalli,vizi kakaslábfű = vízi kakaslábfű; kakaslábfű; kaszirva; muharköles; órafű
,Panicum miliaceum,termesztett köles
,Phalaris canariensis,fényesmagú kanári-~; kanáriai fényperje; polyvacsukk
,Baldingera arundinacea,zöld pántlikafű; nádforma fényperje; nádas tippan; ~
,Oryza sativa,termesztett rizs
,Leersia oryzoides; Oryza clandestina,vízi durcza = vízi durca; vad rizskásafű
15,Setaria verticillata,ragadó muhar; pereszlén-forma muhar; ragadvány kalász; muhar; selyemfű; sertepázsit; sertefű
,^ viridis,zöld muhar
,^ italica,olasz ~
,Tragus racemosus; Lappago racemosa,bojtorjános tövisperje; baltapikk; pojtorjános pázsit; fürtös pelyvaborz
,Stipa pennata,árvaleány hajka; árvalányhaj; árvaleányhaj; fejér árva; kócsag-toll = kócsagtoll; tollfű
,^ capillata,kunkorgó hajka; eleven fű; kákaforma tollfű; oroszlánhaj; szűrfű; vad lányhaj
16,Milium effusum,zilált kásafű; pongyola köles-perje = pongyola kölesperje; ziláltfejű köles-perje = ziláltfejű kölesperje
,Anthoxanthum odoratum,szagos borjupázsit; két-hím pázsit; porodapár
,Alopecurus pratensis,mezei ecsetpázsit; búzaperje; komócsin; rókafark; vadperje
,^ fulvus,ruczaperje = rucaperje
,^ geniculatus,gombos fenyer; libafű
,Crypsis aculeata,búbos bajúszfű; tövisperje
,^ alopecuroides,ruczaperje = rucaperje
,Phleum pratense,mezei komócsin; macskafarkú perje; réti lóperje; timóthfű = timótfű
,^ phleoides; ^ phalaroides,veres nadrág
,Agrostis alba,taraczkos tippan = tarackos tippan; pokrétapázsit; fehér tippan; harmatpázsit; harmattartó szélfű; szőrfű
17,Apera spica,harmattartó széltippan; szellőperje
,Calamagrostis epigeios,nádképű siska; bugafény; csenkesz; cseplesz; halmi nádtippan; nádperje; siskanád; siskafű
,^ pseudophragmites,parti siska
,Sesleria coerulea,kék nyúlfarkfű; bibikra; bibirka; czinczor = cincor
,^ budensis,budai nyúlfarkfű
,Hierochloa odorata,illatos máriafű; Darryfű; harmad mag; szagos czirok = szagos cirok; szent pázsit
18,^ austrialis,ezüstös máriafű
,Holcus lanatus,gyapjas selyemperje; mézfű; gyapjas czirok = gyapjas cirok; pelyhes czirok = pelyhes cirok
,^ mollis,puha selyemperje
,Arrhenatherum elatius,közönséges czigányzab = közönséges cigányzab; franczia perje = francia perje; üre zab = ürezab
,Avena sativa,abrak zab
,^ orientalis,zászlós ~
,^ fauta,héla ~; szőrös ~; fekete ~; üre ~ = üre~; vad ~ = vad~
,Trisetum flavescens,úri arany~
19,Aira,nádpicz = nádpic
,Deschampsia caespitosa; Aira caespitosa,pázsitos séd-búza; gyepes nádpicz = gyepes nádpic; éra-perje = éraperje; szűk-perje = szűkperje; pázsit-perje = pázsitperje
,Weingaertneria canescens; Corynephorus canescens,hamvas pákhordó; buga-bur; bankó-pót; arany-perje = aranyperje; ezüst-perje = ezüstperje; hamvas nádpicz = hamvas nádpic; szürke nádpicz = szürke nádpic
,Koeleria cristata,taréjos fésűperje
,Melica neutans,bókoló gyöngyfű; függő léhapót; gyöngy-perje = gyöngyperje; gyöngy-pázsit = gyöngypázsit; mézes-fű = mézesfű
,Phragmites communis,fedő nád; bog-nád; borda-nád = bordanád; homok-nád = homoknád; tető-nád = tetnád
,Dactylis glomerata,csomós ebír; villás ebír; ebgyógyulás; kutyaperje
20,Sclerochloa dura,közönséges kőperje
,Poa annua,egynyári perje
,^ trivialis,sovány ~
,^ pratensis,réti ~
,^ bulbosa,gumós ~; borsókás ~
,Eragrostis minor,kis-kalászú kőtippan = kiskalászú kőtippan; alfafű; bajuszpázsit; kesely~
,Molinia coerulea,kék pipafü = kék pipafű; kék ~
