page,scientific_name,common_name.hu
10,Podura aquatica,vízibolha
,Campodea,fonálfarkú ősrovarok
,Lepisma saccharina,ezüstös pikkelyke
12,Ephemera danica,dánkérész
,Ephemera ignita,vörösbarna kérész
,Perla marginata,nagy ál~
14,Aeshna cyanea,sebes acsa
,Aeshna grandis,nagy ~
,Cordulegaster boltonii,kétcsíkos hegyiszitakötő
16,Libellula quadrimaculata,négyfoltos acsa
,Libellula depressa,közönséges ~
,Sympetrum vulgatum,közönséges szitakötő
18,Calopteryx splendens,sávos ~
,Coenagrion puella,szép légivadász
,Pyrrhosoma nymphula,vörös ~
20,Forficula auricularia,közönséges fülbemászó
,Blatta orientalis,közönségés csótány
,Mantis religiosa,imádkozó sáska
22,Tettigonia viridissima,zöld lombszöcske
,Decticus verrucivorus,szemölcsevő szöcske
,Gryllus campestris,mezei tücsök
24,Gryllotalpa gryllotalpa,ló~
,Gomphocerippus rufus,erdei bunkóscsápú sáska
,Psophus stridulus,kerepelő ~
26,Pediculus capitis,fejtetű
,Columbicola columbae,tolltetű
,Parthenothrips dracenae,üvegházi tripsz
28,Philaenus spumarius,tajtékos kabóca
,Cercopis vulnerata,vérfoltos ~
,Aphis sambuci,bodza levéltetű
30,Nepa rubra,víziskorpió
,Notonecta glauca,hanyattúszó poloska
,Gerris,molnárpoloskák
32,Anthocoris nemorum,mezei virágpoloska
,Rhinocoris iracundus,gyilkospoloska
,Pyrrhocoris apterus,verőköltő bodobács
34,Elasmucha grisea,változó címerespoloska
,Graphosoma lineatum,csíkos pajzsospoloska
,Dolycoris baccarum,bogyómászó poloska
36,Cicindela campestris,mezei homokfutrinka
,Carabus auratus,aranyos futrinka
,Carabus coriaceus,bőr~
38,Dytiscus marginalis,szegélyes csíkbogár
,Gyrinus substriatus,közönséges keringőbogár
,Hydrophilus piceus,közönséges óriáscsibor
40,Ocypus olens,bűzös holyva
,Staphylinus fossor,tarka ~
,Necrophorus vespillo,közönséges temetőbogár
42,Lamprohiza splendidula,kis szentjánosbogár
,Cantharis fusca,közönséges lágybogár
,Agrypnus murinus,egérszínű pattanóbogár
44,Trichodes alvearius,kékfoltos méhészbogár
,Chalcophora mariana,fenyves díszbogár
,Coccinella septempunctata,hétpettyes katicabogár
46,Ptinus fur,közönséges tolvajbogár
,Dermestes lardarius,szalonnabogár
,Tenebrio molitor,lisztbogár
48,Meloe proscarabaeus,közönséges nünüke
,Pyrochroa serraticornis,közép bíborbogár
,Oedemera femorata,sárgahátú álcincér
50,Geotrupes stercorosus,erdei ganéjtúró
,Melolontha melolontha,májusi cserebogár
,Polyphylla fullo,csapó~
52,Oryctes nasicornis,orrszarvúbogár
